Observed and Forecast Stages for (IRVA2)

There Is No Displayable Forecast Data In The Given Time Frame
Observed Data:
|Date(AKDT)|	|Stage|	|--Flow-|
09/19 06:00	21.54ft	114.00cfs
09/19 05:00	21.54ft	114.00cfs
09/19 04:00	21.54ft	114.00cfs
09/19 03:00	21.56ft	117.00cfs
09/19 02:00	21.57ft	119.00cfs
09/19 01:00	21.59ft	123.00cfs
09/19 00:00	21.62ft	128.00cfs
09/18 23:00	21.66ft	135.00cfs
09/18 22:00	21.69ft	141.00cfs
09/18 21:00	21.73ft	149.00cfs
09/18 20:00	21.79ft	160.00cfs
09/18 19:00	21.81ft	165.00cfs
09/18 18:00	21.89ft	181.00cfs
09/18 17:00	21.90ft	183.00cfs
09/18 16:00	21.94ft	192.00cfs
09/18 15:00	22.02ft	210.00cfs
09/18 14:00	22.12ft	234.00cfs
09/18 13:00	22.22ft	258.00cfs
09/18 12:00	22.39ft	303.00cfs
09/18 11:00	22.48ft	329.00cfs
09/18 10:00	22.71ft	398.00cfs
09/18 09:00	22.99ft	491.00cfs
09/18 08:00	23.18ft	-999000.00cfs
09/18 07:00	23.20ft	-999000.00cfs
09/18 06:00	22.85ft	443.00cfs
09/18 05:00	22.36ft	295.00cfs
09/18 04:00	22.10ft	229.00cfs
09/18 03:00	21.84ft	171.00cfs
09/18 02:00	21.48ft	104.00cfs
09/18 01:00	21.39ft	90.00cfs
09/18 00:00	21.36ft	85.00cfs
09/17 23:00	21.34ft	82.00cfs
09/17 22:00	21.31ft	78.00cfs
09/17 21:00	21.29ft	75.00cfs
09/17 20:00	21.27ft	73.00cfs
09/17 19:00	21.25ft	70.00cfs
09/17 18:00	21.24ft	68.00cfs
09/17 17:00	21.23ft	67.00cfs
09/17 16:00	21.23ft	67.00cfs
09/17 15:00	21.25ft	70.00cfs
09/17 14:00	21.24ft	68.00cfs
09/17 13:00	21.25ft	70.00cfs
09/17 12:00	21.25ft	70.00cfs
09/17 11:00	21.25ft	70.00cfs
09/17 10:00	21.24ft	68.00cfs
09/17 09:00	21.24ft	68.00cfs
09/17 08:00	21.25ft	70.00cfs
09/17 07:00	21.24ft	68.00cfs
09/17 06:00	21.20ft	63.00cfs
09/17 05:00	21.19ft	62.00cfs
09/17 04:00	21.19ft	62.00cfs
09/17 03:00	21.17ft	59.00cfs
09/17 02:00	21.18ft	61.00cfs
09/17 01:00	21.19ft	62.00cfs
09/17 00:00	21.18ft	61.00cfs
09/16 23:00	21.19ft	62.00cfs
09/16 22:00	21.21ft	65.00cfs
09/16 21:00	21.21ft	65.00cfs
09/16 20:00	21.20ft	63.00cfs
09/16 19:00	21.22ft	66.00cfs
09/16 18:00	21.22ft	66.00cfs
09/16 17:00	21.22ft	66.00cfs
09/16 16:00	21.22ft	66.00cfs
09/16 15:00	21.23ft	67.00cfs
09/16 14:00	21.22ft	66.00cfs
09/16 13:00	21.24ft	68.00cfs
09/16 12:00	21.24ft	68.00cfs
09/16 11:00	21.25ft	70.00cfs
09/16 10:00	21.26ft	71.00cfs
09/16 09:00	21.26ft	71.00cfs
09/16 08:00	21.27ft	73.00cfs
09/16 07:00	21.29ft	75.00cfs
09/16 06:00	21.29ft	75.00cfs
09/16 05:00	21.27ft	73.00cfs
09/16 04:00	21.27ft	73.00cfs
09/16 03:00	21.27ft	73.00cfs
09/16 02:00	21.27ft	73.00cfs
09/16 01:00	21.27ft	73.00cfs
09/16 00:00	21.27ft	73.00cfs
09/15 23:00	21.24ft	68.00cfs
09/15 22:00	21.24ft	68.00cfs
09/15 21:00	21.23ft	67.00cfs
09/15 20:00	21.22ft	66.00cfs
09/15 19:00	21.22ft	66.00cfs
09/15 18:00	21.21ft	65.00cfs
09/15 17:00	21.21ft	65.00cfs
09/15 16:00	21.20ft	63.00cfs
09/15 15:00	21.20ft	63.00cfs
09/15 14:00	21.20ft	63.00cfs
09/15 13:00	21.21ft	65.00cfs
09/15 12:00	21.22ft	66.00cfs
09/15 11:00	21.23ft	67.00cfs
09/15 10:00	21.24ft	68.00cfs
09/15 09:00	21.25ft	70.00cfs
09/15 08:00	21.25ft	70.00cfs
09/15 07:00	21.27ft	73.00cfs
09/15 06:00	21.28ft	74.00cfs
09/15 05:00	21.29ft	75.00cfs
09/15 04:00	21.29ft	75.00cfs
09/15 03:00	21.31ft	78.00cfs
09/15 02:00	21.31ft	78.00cfs
09/15 01:00	21.34ft	82.00cfs
09/15 00:00	21.35ft	84.00cfs
09/14 23:00	21.37ft	87.00cfs
09/14 22:00	21.38ft	88.00cfs
09/14 21:00	21.41ft	93.00cfs
09/14 20:00	21.41ft	93.00cfs
09/14 19:00	21.36ft	85.00cfs
09/14 18:00	21.28ft	74.00cfs
09/14 17:00	21.26ft	71.00cfs
09/14 16:00	21.22ft	66.00cfs
09/14 15:00	21.22ft	66.00cfs
09/14 14:00	21.21ft	65.00cfs
09/14 13:00	21.22ft	66.00cfs
09/14 12:00	21.22ft	66.00cfs
09/14 11:00	21.23ft	67.00cfs
09/14 10:00	21.23ft	67.00cfs
09/14 09:00	21.24ft	68.00cfs
09/14 08:00	21.25ft	70.00cfs
09/14 07:00	21.26ft	71.00cfs
09/14 06:00	21.26ft	71.00cfs
09/14 05:00	21.27ft	73.00cfs
09/14 04:00	21.28ft	74.00cfs
09/14 03:00	21.28ft	74.00cfs
09/14 02:00	21.29ft	75.00cfs
09/14 01:00	21.31ft	78.00cfs
09/14 00:00	21.31ft	78.00cfs
09/13 23:00	21.33ft	81.00cfs
09/13 22:00	21.33ft	81.00cfs
09/13 21:00	21.34ft	82.00cfs
09/13 20:00	21.35ft	84.00cfs
09/13 19:00	21.36ft	85.00cfs
09/13 18:00	21.37ft	87.00cfs
09/13 17:00	21.38ft	88.00cfs
09/13 16:00	21.38ft	88.00cfs
09/13 15:00	21.40ft	91.00cfs
09/13 14:00	21.40ft	91.00cfs
09/13 13:00	21.42ft	94.00cfs
09/13 12:00	21.43ft	96.00cfs
09/13 11:00	21.44ft	98.00cfs
09/13 10:00	21.46ft	101.00cfs
09/13 09:00	21.47ft	102.00cfs
09/13 08:00	21.49ft	106.00cfs
09/13 07:00	21.50ft	107.00cfs
09/13 06:00	21.53ft	112.00cfs
09/13 05:00	21.54ft	114.00cfs
09/13 04:00	21.56ft	117.00cfs
09/13 03:00	21.58ft	121.00cfs
09/13 02:00	21.59ft	123.00cfs
09/13 01:00	21.59ft	123.00cfs
09/13 00:00	21.60ft	124.00cfs
09/12 23:00	21.62ft	128.00cfs
09/12 22:00	21.62ft	128.00cfs
09/12 21:00	21.59ft	123.00cfs
09/12 20:00	21.55ft	116.00cfs
09/12 19:00	21.54ft	114.00cfs
09/12 18:00	21.54ft	114.00cfs
09/12 17:00	21.54ft	114.00cfs
09/12 16:00	21.52ft	111.00cfs
09/12 15:00	21.51ft	109.00cfs
09/12 14:00	21.51ft	109.00cfs
09/12 13:00	21.53ft	112.00cfs
09/12 12:00	21.53ft	112.00cfs
09/12 11:00	21.54ft	114.00cfs
09/12 10:00	21.52ft	111.00cfs
09/12 09:00	21.52ft	111.00cfs
09/12 08:00	21.51ft	109.00cfs
