Observed and Forecast Stages for (IRVA2)

There Is No Displayable Forecast Data In The Given Time Frame
Observed Data:
|Date(AKDT)|	|Stage|	|--Flow-|
08/25 12:00	21.59ft	123.00cfs
08/25 11:00	21.58ft	121.00cfs
08/25 10:00	21.61ft	126.00cfs
08/25 09:00	21.60ft	124.00cfs
08/25 08:00	21.61ft	126.00cfs
08/25 07:00	21.62ft	128.00cfs
08/25 06:00	21.63ft	130.00cfs
08/25 05:00	21.65ft	134.00cfs
08/25 04:00	21.66ft	135.00cfs
08/25 03:00	21.66ft	135.00cfs
08/25 02:00	21.66ft	135.00cfs
08/25 01:00	21.69ft	141.00cfs
08/25 00:00	21.69ft	141.00cfs
08/24 23:00	21.70ft	143.00cfs
08/24 22:00	21.72ft	147.00cfs
08/24 21:00	21.74ft	151.00cfs
08/24 20:00	21.76ft	154.00cfs
08/24 19:00	21.78ft	158.00cfs
08/24 18:00	21.80ft	162.00cfs
08/24 17:00	21.81ft	165.00cfs
08/24 16:00	21.85ft	173.00cfs
08/24 15:00	21.86ft	175.00cfs
08/24 14:00	21.90ft	183.00cfs
08/24 13:00	21.94ft	192.00cfs
08/24 12:00	21.98ft	201.00cfs
08/24 11:00	22.00ft	205.00cfs
08/24 10:00	22.03ft	212.00cfs
08/24 09:00	22.06ft	219.00cfs
08/24 08:00	22.13ft	236.00cfs
08/24 07:00	22.19ft	251.00cfs
08/24 06:00	22.21ft	256.00cfs
08/24 05:00	22.26ft	269.00cfs
08/24 04:00	22.35ft	293.00cfs
08/24 03:00	22.39ft	303.00cfs
08/24 02:00	22.44ft	317.00cfs
08/24 01:00	22.51ft	337.00cfs
08/24 00:00	22.63ft	373.00cfs
08/23 23:00	22.66ft	382.00cfs
08/23 22:00	22.78ft	420.00cfs
08/23 21:00	22.93ft	470.00cfs
08/23 20:00	23.16ft	-999000.00cfs
08/23 19:00	23.33ft	-999000.00cfs
08/23 18:00	23.51ft	-999000.00cfs
08/23 17:00	23.42ft	-999000.00cfs
08/23 16:00	22.96ft	481.00cfs
08/23 15:00	22.69ft	392.00cfs
08/23 14:00	22.61ft	367.00cfs
08/23 13:00	22.62ft	370.00cfs
08/23 12:00	22.72ft	401.00cfs
08/23 11:00	22.84ft	440.00cfs
08/23 10:00	23.02ft	-999000.00cfs
08/23 09:00	22.96ft	481.00cfs
