Observed and Forecast Stages for (IRVA2)

There Is No Displayable Forecast Data In The Given Time Frame
Observed Data:
|Date(AKDT)|	|Stage|	|--Flow-|
09/12 16:00	21.52ft	111.00cfs
09/12 15:00	21.51ft	109.00cfs
09/12 14:00	21.51ft	109.00cfs
09/12 13:00	21.53ft	112.00cfs
09/12 12:00	21.53ft	112.00cfs
09/12 11:00	21.54ft	114.00cfs
09/12 10:00	21.52ft	111.00cfs
09/12 09:00	21.52ft	111.00cfs
09/12 08:00	21.51ft	109.00cfs
09/12 07:00	21.49ft	106.00cfs
09/12 06:00	21.48ft	104.00cfs
09/12 05:00	21.49ft	106.00cfs
09/12 04:00	21.50ft	107.00cfs
09/12 03:00	21.52ft	111.00cfs
09/12 02:00	21.54ft	114.00cfs
09/12 01:00	21.56ft	117.00cfs
09/12 00:00	21.58ft	121.00cfs
09/11 23:00	21.61ft	126.00cfs
09/11 22:00	21.62ft	128.00cfs
09/11 21:00	21.64ft	132.00cfs
09/11 20:00	21.67ft	137.00cfs
09/11 19:00	21.70ft	143.00cfs
09/11 18:00	21.75ft	153.00cfs
09/11 17:00	21.81ft	165.00cfs
09/11 16:00	21.85ft	173.00cfs
09/11 15:00	21.90ft	183.00cfs
09/11 14:00	21.97ft	199.00cfs
09/11 13:00	22.02ft	210.00cfs
09/11 12:00	22.10ft	229.00cfs
09/11 11:00	22.16ft	243.00cfs
09/11 10:00	22.26ft	269.00cfs
09/11 09:00	22.34ft	290.00cfs
09/11 08:00	22.48ft	329.00cfs
09/11 07:00	22.60ft	364.00cfs
09/11 06:00	22.83ft	437.00cfs
09/11 05:00	23.12ft	-999000.00cfs
09/11 04:00	23.43ft	-999000.00cfs
09/11 03:00	23.79ft	-999000.00cfs
09/11 02:00	24.26ft	-999000.00cfs
09/11 01:00	24.47ft	-999000.00cfs
09/11 00:00	24.54ft	-999000.00cfs
09/10 23:00	24.63ft	-999000.00cfs
09/10 22:00	24.73ft	-999000.00cfs
09/10 21:00	24.99ft	-999000.00cfs
09/10 20:00	24.97ft	-999000.00cfs
09/10 19:00	24.76ft	-999000.00cfs
09/10 18:00	24.72ft	-999000.00cfs
09/10 17:00	24.36ft	-999000.00cfs
09/10 16:00	24.46ft	-999000.00cfs
09/10 15:00	24.37ft	-999000.00cfs
09/10 14:00	23.83ft	-999000.00cfs
09/10 13:00	23.67ft	-999000.00cfs
09/10 12:00	23.69ft	-999000.00cfs
09/10 11:00	23.72ft	-999000.00cfs
09/10 10:00	23.76ft	-999000.00cfs
09/10 09:00	23.62ft	-999000.00cfs
09/10 08:00	22.98ft	487.00cfs
09/10 07:00	21.97ft	199.00cfs
09/10 06:00	21.35ft	84.00cfs
09/10 05:00	21.20ft	63.00cfs
09/10 04:00	21.13ft	55.00cfs
09/10 03:00	21.12ft	53.00cfs
09/10 02:00	21.11ft	52.00cfs
09/10 01:00	21.10ft	51.00cfs
09/10 00:00	21.10ft	51.00cfs
09/09 23:00	21.10ft	51.00cfs
09/09 22:00	21.10ft	51.00cfs
09/09 21:00	21.11ft	52.00cfs
09/09 20:00	21.10ft	51.00cfs
09/09 19:00	21.10ft	51.00cfs
09/09 18:00	21.10ft	51.00cfs
09/09 17:00	21.11ft	52.00cfs
09/09 16:00	21.11ft	52.00cfs
09/09 15:00	21.11ft	52.00cfs
09/09 14:00	21.12ft	53.00cfs
09/09 13:00	21.12ft	53.00cfs
09/09 12:00	21.12ft	53.00cfs
09/09 11:00	21.13ft	55.00cfs
09/09 10:00	21.13ft	55.00cfs
09/09 09:00	21.14ft	56.00cfs
09/09 08:00	21.15ft	57.00cfs
09/09 07:00	21.15ft	57.00cfs
09/09 06:00	21.16ft	58.00cfs
09/09 05:00	21.16ft	58.00cfs
09/09 04:00	21.17ft	59.00cfs
09/09 03:00	21.18ft	61.00cfs
09/09 02:00	21.18ft	61.00cfs
09/09 01:00	21.18ft	61.00cfs
09/09 00:00	21.20ft	63.00cfs
09/08 23:00	21.19ft	62.00cfs
09/08 22:00	21.20ft	63.00cfs
09/08 21:00	21.21ft	65.00cfs
09/08 20:00	21.21ft	65.00cfs
09/08 19:00	21.22ft	66.00cfs
09/08 18:00	21.22ft	66.00cfs
09/08 17:00	21.23ft	67.00cfs
09/08 16:00	21.24ft	68.00cfs
09/08 15:00	21.25ft	70.00cfs
09/08 14:00	21.25ft	70.00cfs
09/08 13:00	21.26ft	71.00cfs
09/08 12:00	21.27ft	73.00cfs
09/08 11:00	21.28ft	74.00cfs
09/08 10:00	21.29ft	75.00cfs
09/08 09:00	21.30ft	77.00cfs
09/08 08:00	21.30ft	77.00cfs
09/08 07:00	21.32ft	80.00cfs
09/08 06:00	21.33ft	81.00cfs
09/08 05:00	21.35ft	84.00cfs
09/08 04:00	21.36ft	85.00cfs
09/08 03:00	21.37ft	87.00cfs
09/08 02:00	21.39ft	90.00cfs
09/08 01:00	21.41ft	93.00cfs
09/08 00:00	21.43ft	96.00cfs
09/07 19:00	21.44ft	98.00cfs
09/07 18:00	21.41ft	93.00cfs
09/07 17:00	21.32ft	80.00cfs
09/07 16:00	21.28ft	74.00cfs
09/07 15:00	21.26ft	71.00cfs
09/07 14:00	21.26ft	71.00cfs
09/07 13:00	21.25ft	70.00cfs
09/07 12:00	21.26ft	71.00cfs
09/07 11:00	21.27ft	73.00cfs
09/07 10:00	21.27ft	73.00cfs
09/07 09:00	21.27ft	73.00cfs
09/07 08:00	21.28ft	74.00cfs
09/07 07:00	21.30ft	77.00cfs
09/07 06:00	21.31ft	78.00cfs
09/07 05:00	21.33ft	81.00cfs
09/07 04:00	21.33ft	81.00cfs
09/07 03:00	21.34ft	82.00cfs
09/07 02:00	21.34ft	82.00cfs
09/07 01:00	21.35ft	84.00cfs
09/07 00:00	21.35ft	84.00cfs
09/06 23:00	21.36ft	85.00cfs
09/06 22:00	21.35ft	84.00cfs
09/06 21:00	21.33ft	81.00cfs
09/06 20:00	21.31ft	78.00cfs
09/06 19:00	21.29ft	75.00cfs
09/06 18:00	21.28ft	74.00cfs
09/06 17:00	21.26ft	71.00cfs
09/06 16:00	21.26ft	71.00cfs
09/06 15:00	21.26ft	71.00cfs
09/06 14:00	21.26ft	71.00cfs
09/06 13:00	21.26ft	71.00cfs
09/06 12:00	21.26ft	71.00cfs
